DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      i1850cn_cruncep_CNDA_Cli_b  (yrs 2000-2009)
 
REFERENCE CASE (case2): i1850cn_cruncep_ctl  (yrs 2000-2009)
 
DIFFERENCE:            (i1850cn_cruncep_CNDA_Cli_b) - (i1850cn_cruncep_ctl)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source     -0.77901936
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink        2.00687909
GPP(PgC/y) gross primary production                                  15.58111572
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                        10.98054504
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                       4.60004425
NPP(PgC/y) net primary production                                     5.31782150
AGNPP(PgC/y) above ground net primary production                      1.82712173
BGNPP(PgC/y) below ground net primary production                      3.31989288
MR(PgC/y) maintenance respiration                                     8.64714813
GR(PgC/y) total growth respiration                                    1.61666775
AR(PgC/y) autotrophic respiration (MR + GR)                          10.26434326
LITHR(PgC/y) litter hetereotrophic respiration                        1.48623657
SOMHR(PgC/y) SOM hetereotrophic respiration                           1.82427979
HR(PgC/y) total hetereotrophic respiration                            3.31024551
RR(PgC/y) root respiration (fine root MR + total root GR)             5.62164688
SR(PgC/y) total soil respiration (HR + root resp)                     8.93281555
ER(PgC/y) total ecosystem respiration (AR + HR)                      13.57133484
LEAFC(PgC) leaf carbon                                                1.09553242
XSMRPOOL(PgC) Temporary Photosynthate C Pool                         -0.90375662
SOIL3C(PgC) Soil organic matter C (slow pool)                         2.85354614
SOIL4C(PgC) Soil organic matter C (slowest pool)                      4.28094482
FROOTC(PgC) fine root carbon                                          2.14262199
LIVESTEMC(PgC) live stem C                                            0.01133239
DEADSTEMC(PgC) dead stem carbon                                     -66.58673096
LIVECROOTC(PgC) live coarse root carbon                               0.00340021
DEADCROOTC(PgC) dead coarse root carbon                             -19.97653198
CPOOL(PgC) temporary photosynthate C pool                             0.00000000
TOTVEGC(PgC) total vegetation C, excluding cpool                    -77.92755127
CWDC(PgC) coarse woody debris carbon                                -13.16418457
TOTLITC(PgC) total litter carbon                                      1.28069210
TOTSOMC(PgC) total SOM carbon                                         7.47900391
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool          -71.65307617
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                  -72.57470703
FPG(proportion) fraction of potential GPP                            -0.01524770
FPI(proportion) fraction of potential immobilization                 -0.01582676
NDEP_TO_SMINN(TgN/y) nitrogen deposition                             43.46718597
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                     424.47265625
ACTUAL_IMMOB(TgN/y) Actual Immobilization                            65.47387695
