DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      i1850cn_cruncep_CNDA_Cli_b  (yrs 2000-2009)
 
REFERENCE CASE (case2): i1850cn_cruncep_ctl  (yrs 2000-2009)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                   Runoff:qover+qdrai+qrgwl
 
Alaskan Arctic         142.066             140.771               4.411               4.396               3.051               3.129               4.829               3.969              67.315              70.315              65.938              62.838
Canadian Arctic        159.156             162.706               1.315               1.584               0.894               1.040               4.745               5.159              44.455              49.475              72.467              70.197
Greenland              572.122             602.865               1.023               0.629               0.206               0.151               1.881               1.711               4.409               3.363              85.976              83.439
Russian Arctic         271.339             270.225               7.150               7.627               2.759               2.916              15.413              15.547              88.038              92.535             161.892             154.165
Antarctica            -999.000            -999.000            -999.000            -999.000            -999.000            -999.000            -999.000            -999.000            -999.000            -999.000            -999.000            -999.000
Alaska                 357.811             351.525              28.475              24.559               7.784               7.017              55.106              52.339              99.184              99.900             178.260             177.729
Northwest Canada       346.211             332.494              41.793              39.313              10.924              10.785             108.645             102.551              99.717             117.146              91.751              71.600
Central Canada         549.419             506.821              72.605              72.494              12.369              13.529             159.240             163.405             107.639             134.939             207.553             136.870
Eastern Canada         778.388             758.725              80.285              78.652               9.856               9.986             118.485             120.094              99.602              99.699             479.090             461.092
Northern Europe        683.303             599.389              53.164              53.822               8.389               9.874             116.413             107.653              89.938             121.051             423.523             313.292
Western Siberia        493.146             466.083              53.905              57.335              10.899              12.214             158.426             148.668             101.196             117.587             177.739             138.166
Eastern Siberia        414.480             392.986              56.758              55.007              13.136              13.288             148.255             146.480              86.130              97.719             121.380              96.817
Western U.S.           418.980             445.438              32.214              30.437               5.746               5.279             120.690             120.471             154.934             162.221             111.789             129.155
Central U.S.           690.797             675.548              81.677              80.555              10.217              10.426             361.077             357.643             168.014             177.352              72.335              60.381
Eastern U.S.          1069.922            1005.953             159.452             155.622              14.737              15.211             481.754             503.394              86.615              98.340             329.373             252.379
Europe                 780.974             729.433              97.066              94.668              12.513              13.202             319.833             311.511             103.924             115.542             261.807             213.118
Mediterranean          620.991             623.481              70.750              70.792              10.212              10.269             298.090             297.499             161.277             177.785              90.373              79.939
Central America       2561.328            2435.721             548.527             531.931              21.504              21.999             974.902            1065.092              91.152              83.314             955.271             752.915
Amazonia              2318.079            2233.983             529.416             477.638              22.834              21.360             961.948            1036.069              28.076              28.651             800.043             685.941
Central Africa        1636.735            1634.510             380.104             372.163              23.131              22.686            1115.296            1143.991              35.911              38.983             109.098              84.994
Indonesia             2874.280            2757.605             638.405             554.522              21.918              20.035            1056.188            1155.778              42.414              51.795            1139.499             988.864
Brazil                1369.684            1351.954             259.000             228.650              17.642              15.947             739.532             789.755             135.884             130.518             226.204             201.852
Sahel                  798.971             825.620             100.394              99.193               9.259               9.124             374.689             394.818             213.880             223.060             109.766             103.223
Southern Africa        944.179             898.610             139.768             125.975              12.932              11.912             494.839             473.135             207.921             203.354             105.579              98.029
India                 1021.778             955.400             111.589              93.586              10.578               9.136             444.714             403.287             270.347             278.226             187.672             185.001
Indochina             1751.577            1711.769             337.188             301.354              19.352              17.700             825.580             874.510             104.032             107.261             493.149             428.241
Sahara Desert           39.627              42.215               0.119               0.090               0.062               0.050               2.100               2.059              37.582              39.835               0.145               0.416
Arabian Peninsula       89.476              96.554               0.380               0.407               0.230               0.224               4.301               3.587              84.767              92.486               0.664               0.608
Australia              235.129             209.545               6.563               5.349               2.504               2.316              47.024              32.259             174.859             166.839               7.817               6.263
Central Asia           189.152             178.854               3.432               3.267               1.429               1.450              30.703              26.199             145.152             143.074               9.588               6.099
Mongolia               173.996             203.041               8.868              10.509               3.198               3.398              44.445              50.898             118.633             138.477               3.957               3.905
Tibetan Plateau        244.669             238.896              12.911              12.399               3.238               3.173              44.258              39.160             168.893             174.163              16.977              13.328
Central Asia           287.741             279.644              19.777              19.860               4.628               4.831              94.594              88.320             147.048             154.437              26.175              18.055
NE China               301.024             323.813              31.851              34.316               7.300               7.818             130.675             134.005             126.042             148.424              16.900              10.220
Eastern China          592.284             591.070              82.928              84.616              11.340              11.651             327.434             300.141             139.869             173.467              36.526              29.568
Tibetan Plateau        244.669             238.896              12.911              12.399               3.238               3.173              44.258              39.160             168.893             174.163              16.977              13.328
Southern Asia         1067.314            1076.380             184.144             172.219              14.203              13.291             530.363             534.501             121.923             129.612             243.402             244.417
Sahara and Arabia       61.641              66.403               0.350               0.333               0.170               0.161               4.636               4.538              55.881              60.040               1.224               1.737
MedSea and MidEast     376.407             383.815              29.966              30.647               4.712               4.869             139.660             140.164             165.268             179.915              39.594              34.351
Tigris Euphrates       286.328             309.968              10.192              12.163               2.497               2.796              76.607              77.162             184.027             209.728              14.090              10.837
Polar                  375.834             363.563              19.675              19.410               4.892               5.127              46.315              44.869              80.731              89.412             167.175             143.686
N. Hemisphere Land     632.563             621.004              88.940              84.701               8.501               8.536             246.973             250.945             121.012             130.065             165.265             144.412
S. Hemisphere Land    1155.601            1107.995             205.183             182.566              12.738              11.813             520.608             536.343             161.251             156.830             267.785             233.385
Global                 766.985             746.169             118.812             109.850               9.595               9.383             317.291             324.284             131.357             136.949             191.613             167.279
