DIAG SET 7: RTM flow at station for world's 50 largest rivers (km3/yr)
 
TEST CASE (case1):      i1850cn_cruncep_CNDA_Cli_b (yrs 2000-2009)
 
REFERENCE CASE (case2): i1850cn_cruncep_ctl (yrs 2000-2009)
 
OBS CASE: Dai and Trenberth (2002)
 
NO.                     RIVER NAME                 OBS VOL              RTM VOL GRDC             RTM VOL TEST CASE       RTM VOL REF CASE           STN LON                 STN LAT                RTM STN LON             RTM STN LAT          STATION, COUNTRY        
 1                  Amazon                         5330.000                5083.000                3361.129                2648.969                 -55.500                  -2.000                 -55.750                  -1.750         Obidos, Brazil
 2                  Congo                          1271.000                1266.000                 311.436                 251.637                  15.300                  -4.300                  15.250                  -4.250         Kinshasa, Congo
 3                  Orinoco                         984.000                1141.000                 830.472                 675.377                 -63.600                   8.100                 -64.250                   8.250         Pte Angostu, Venezuela
 4                  Changjiang                      910.000                 996.000                 247.180                 248.213                 117.600                  30.800                 117.750                  30.750         Datong, China
 5                  Brahmaputra                     613.000                 617.000                 196.335                 176.409                  89.700                  25.200                  89.750                  25.250         Bahadurabad, Bangladesh
 6                  Mississippi                     536.000                 458.000                 258.635                 201.743                 -90.900                  32.300                 -91.250                  31.750         Vicksburg, MS, USA
 7                  Yenisey                         577.000                 525.000                 338.467                 280.307                  86.500                  67.400                  86.250                  67.750         Igarka, Russia
 8                  Parana                          476.000                 589.000                 306.474                 263.222                 -60.700                 -32.700                 -60.750                 -32.250         Timbues, Argentina
 9                  Lena                            526.000                 456.000                 277.851                 217.103                 127.400                  70.700                 127.250                  70.750         Kusur, Russia
10                  Mekong                          292.000                 271.000                 139.390                 113.806                 105.800                  15.100                 105.750                  15.250         Pakse, Laos
11                  Tocantins                       356.000                 398.000                 430.037                 386.880                 -49.700                  -3.800                 -49.750                  -4.250         Tucurui, Brazil
12                  Tapajos                         337.000                 545.000                 375.857                 349.435                 -56.800                  -5.200                 -57.250                  -5.750         Jatoba, Brazil
13                  Ob                              397.000                 433.000                 270.177                 205.000                  66.600                  66.600                  66.250                  66.250         Salekhard, Russia
14                  Ganges                          382.000                 428.000                 137.046                 192.934                  88.100                  24.500                  88.250                  24.750         Farakka, India
15                  Irrawaddy                       258.000                 324.000                  56.080                  54.224                  96.000                  21.900                  95.750                  22.250         Sagaing, Myanmar(Burma)
16                  St Lawrence                     226.000                 318.000                 223.498                 155.648                 -74.700                  45.000                 -75.250                  44.750         Cornwall ON, Canada
17                  Amur                            312.000                 359.000                 140.415                 109.403                 137.000                  50.500                 137.250                  50.250         Komsomolsk, Russia
18                  Xingu                           272.000                 325.000                 289.987                 253.096                 -52.200                  -3.200                 -52.750                  -3.750         Altamira, Brazil
