DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: t85f09.BTRANS.1948s.a (yrs 1982-2005)
 
CONTROL CASE: OBS data
 
Variable    t85f09.BTRANS.1948s.a       OBS data       t85f09.BTRANS.1948s.a        RMSE
                                                     -OBS data
RESTOM            51.546            -999.000          -999.000      -999.000
RESSURF           13.467            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 53.960              61.110            -7.150        14.935
RESTOA_ERBE       53.960              58.956            -4.996        12.477
SOLIN_CERES-EBAF 413.439             412.787             0.652         0.837
SOLIN_CERES      413.439             414.841            -1.402         1.896
CLDTOT_ISCCP      49.502              61.519           -12.017        15.544
CLDTOT_CLOUDSAT   49.502              69.501           -20.000        23.367
FLDS_ISCCP       403.842             402.115             1.727        12.816
FLNS_ISCCP        55.560              50.753             4.807        14.523
FLUT_CERES-EBAF  250.079             255.246            -5.166        15.212
FLUT_CERES       250.079             254.359            -4.279        14.701
FLUT_ERBE        250.079             249.862             0.218        14.037
FLUTC_CERES-EBAF 287.513             286.741             0.772         4.235
FLUTC_CERES      287.513             287.467             0.045         4.346
FLUTC_ERBE       287.513             286.996             0.517         4.973
FLNT_CAM         248.848            -999.000          -999.000      -999.000
FSDS_ISCCP       224.530             244.027           -19.497        29.235
FSNS_ISCCP       208.362             225.253           -16.890        26.095
FSNS_LARYEA      208.362             206.280             2.083        39.326
FSNTOA_CERES-EBAF304.040             316.356           -12.316        22.081
FSNTOA_CERES     304.040             321.990           -17.950        26.336
FSNTOA_ERBE      304.040             308.817            -4.778        18.063
FSNTOAC_CERES-EBAF368.729             364.426             4.303         6.766
FSNTOAC_CERES    368.729             367.527             1.202         4.598
FSNTOAC_ERBE     368.729             363.302             5.427         7.780
FSNT_CAM         300.394            -999.000          -999.000      -999.000
LHFLX_JRA25      122.402             126.881            -4.479        26.225
LHFLX_ERA40      122.402             115.737             6.665        26.195
LHFLX_WHOI       122.402             112.594             9.808        38.343
LWCF_CERES-EBAF   37.433              31.495             5.938        13.009
LWCF_CERES        37.433              32.942             4.491        12.385
LWCF_ERBE         37.433              36.937             0.496        11.819
PRECT_GPCP         4.527               3.621             0.906         2.253
PREH2O_NVAP       41.359              39.409             1.950         5.101
PREH2O_AIRS       41.359              32.872             8.487         9.010
PREH2O_JRA25      41.359              32.872             8.487         9.010
PREH2O_ERAI       41.359              38.901             2.458         4.769
PREH2O_ERA40      41.359              39.531             1.828         4.269
PSL_JRA25       1011.909            1011.675             0.233         1.111
PSL_ERAI        1011.909            1011.534             0.375         1.130
SHFLX_JRA25       16.934              24.816            -7.882        14.905
SHFLX_NCEP        16.934              17.457            -0.523        11.722
SHFLX_LARYEA      16.934              11.065             5.869        10.046
STRESS_MAG_ERS     0.065               0.054             0.011         0.025
STRESS_MAG_LARYEA  0.065               0.064             0.001         0.023
STRESS_MAG_JRA25   0.065               0.064             0.001         0.026
SWCF_CERES-EBAF  -64.689             -48.070           -16.620        25.468
SWCF_CERES       -64.689             -45.470           -19.219        27.347
SWCF_ERBE        -64.689             -54.328           -10.361        20.574
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
SST_HADISST       27.593              27.125             0.468         0.949
SST_HADISST_PI    27.593              26.743             0.850         1.234
SST_HADISST_PD    27.593              27.178             0.415         1.058
TREFHT_LEGATES   299.061             298.950             0.112         1.171
TREFHT_JRA25     299.061             298.454             0.607         1.137
TS_NCEP          299.953             299.340             0.613         1.277
TS_LAND_NCEP     297.289             296.516             0.773         1.889
U_200_JRA25        6.222               6.661            -0.439         4.182
U_200_NCEP         6.222               4.852             1.370         3.891
Z3_500_JRA25      58.741              58.558             0.183         0.186
Z3_500_NCEP       58.741              58.546             0.196         0.201
