date,co2,no_co2,spinup
015102,29.0507117734,27.6341769431,21.2913752052
015103,30.8053422194,28.3403198944,21.7324139363
015104,32.4344323585,29.3415871445,22.4606643797
015105,36.0272807059,32.2588539974,24.3401169498
015106,42.8923041111,38.155738872,28.956619123
015107,50.9470389706,44.7964203453,34.1759751089
015108,55.4655224578,47.4111340007,36.2401005186
015109,53.9098264901,45.7163502386,34.896015621
015110,48.1918210629,40.0102437836,30.6309239625
015111,44.4755107891,36.0840979434,27.6003175952
015112,39.4528084173,31.2653373278,23.8052688693
015201,37.7952652081,29.3732138598,22.2602457807
015202,37.1777366954,28.2562895546,21.3670258581
015203,39.125472347,29.8316918602,22.4768624228
015204,41.5236836152,31.017946982,23.2833628727
015205,44.7684388148,33.3185080336,24.9788723434
015206,52.2383691949,38.6915710275,29.0513344638
015207,59.1451694694,43.6509123022,32.6281650803
015208,63.5221166715,46.7898104526,34.9520278153
015209,61.0457815522,44.7290389724,33.454556042
015210,55.3185467777,40.0378686915,30.0113252075
015211,49.5576802384,35.755972434,26.6516493749
015212,44.9023730824,32.0610987834,23.746263209
015301,42.5614263763,30.272839733,22.3591112572
015302,41.1746446959,29.2510082393,21.5701771701
015303,42.6423875735,30.3893106406,22.3853337945
015304,44.5815062475,31.7197577291,23.2450715523
015305,46.2752601607,33.2101286614,24.4728273539
015306,52.5148373084,37.9996342807,28.1346228546
015307,59.6799074946,43.6777239707,32.1957210298
015308,63.8141534272,46.5492319144,34.4546636463
015309,61.1514380207,44.6767781426,33.156261692
015310,55.0127340122,40.3006055309,29.8907224077
015311,49.0534349627,35.842303912,26.5854317484
015312,43.5185740396,31.8218183889,23.4557531381
015401,40.9412748277,29.9555236392,21.9911500833
015402,39.5559728589,29.0779219932,21.3787971515
015403,41.1745732714,30.148832462,22.2155492647
015404,42.3244403629,30.9756338676,22.641232616
015405,45.2617936658,33.6881585534,24.7598895233
015406,51.430272975,38.4620703427,28.4356233078
015407,59.4029958597,44.5510468678,32.7940210533
015408,63.2772928282,47.2213027462,34.9073628203
015409,61.463674683,45.9604816282,34.0516690422
015410,55.1738920658,41.226799374,30.5260237158
015411,49.4655573927,36.6113522365,27.1875910441
015412,44.2199203839,32.5476348611,23.983706935
015501,41.3197666839,30.3901799317,22.2842764959
015502,40.3045026281,29.4855528393,21.6471355953
015503,41.201892583,30.0660845371,22.0693598847
015504,43.0537541374,31.1738820115,22.8025286578
015505,45.6543178637,33.5395786724,24.5341261131
015506,53.4675098613,39.2168536132,28.8080375161
015507,61.8521803375,45.504221105,33.503690332
015508,65.1126653589,47.7050603786,35.2549826677
015509,62.5867127088,45.7531951871,33.9002822326
015510,56.8823201755,41.390790398,30.6993358561
015511,50.8518481094,36.9996776878,27.3282022566
015512,44.8561949234,32.4864169795,23.8055399494
015601,42.867832093,30.7177243011,22.4973653906
015602,41.3294093216,29.4957713162,21.5991440229
015603,41.835497422,30.0105318354,21.9347940896
015604,44.0470441292,31.3562823068,22.8651048643
015605,47.6966472508,34.1179033749,25.0006363449
015606,54.9696828386,39.6672748881,29.1884832357
015607,62.8717849864,45.57335584,33.4327508152
015608,67.1846970153,48.3311977157,35.6881148365
015609,65.2978322216,47.1817194795,34.8445341453
015610,58.1577905992,41.8091659332,30.894677695
015611,51.2098017195,36.4983440266,27.0425586645
015612,45.3918659783,32.3048861925,23.8485649915
015701,43.063253875,30.4830162222,22.4069105881
015702,41.5797080696,29.0473102039,21.3913527123
015703,42.167389738,29.950581913,22.0211169298
015704,45.2575780982,31.9024399771,23.3301540159
015705,47.1504805024,33.0589358102,24.3198857534
015706,53.8272117702,38.0616229941,28.0504790192
015707,62.645696964,44.427058158,32.6633266078
015708,67.3518000775,47.6369777994,35.2061963376
015709,65.7658374572,46.4116771713,34.3640461221
015710,58.7531468827,41.3392865952,30.7076060723
015711,52.6441648456,36.8477602177,27.3763866032
015712,46.2926088678,32.1691857432,23.7303722895
015801,43.7563395674,30.4657347465,22.4023215913
015802,42.8735274818,29.8090822149,21.9492744154
015803,43.996394343,30.5882073127,22.4911940484
015804,45.6551296455,31.6500241522,23.1742294336
015805,48.504304894,33.7024973823,24.8294383568
015806,55.7176862117,38.9469932564,28.7955548734
015807,64.0085882512,44.8241907754,33.0326318528
015808,68.2840691829,47.8111845918,35.3230517908
015809,65.8318831868,46.0749856442,34.142539498
015810,59.5054784702,41.4377311272,30.7455193863
015811,52.0599685111,36.0844226948,26.8431044615
015812,46.3938386633,32.2586103325,23.7407688006
015901,44.8241058839,31.2431972337,22.9073046211
015902,43.6219483127,30.1661503193,22.0645565749
015903,44.5819826466,31.1102835496,22.7618506752
015904,46.6733888642,32.2936511757,23.5980585675
015905,49.0095816568,33.8294268792,24.8740193125
015906,55.4821761313,38.6926761346,28.5790280442
015907,64.3360657836,45.1006480598,33.1704030677
015908,69.6083433126,48.4910856195,35.8502514444
015909,68.4538376981,47.6075762652,35.2874763441
015910,60.7887622158,42.2049281966,31.3910563224
015911,53.8724073239,37.306204837,27.6238891887
015912,47.9030074468,33.043033243,24.3870387963
016001,44.442932957,30.6809866516,22.5051459887
016002,43.695223481,30.0201872197,22.0462438594
016003,44.6447374888,30.9423329003,22.7514292223
016004,46.5527689917,31.9126330459,23.3324664768
016005,49.8790980975,34.4209855323,25.3260211943
016006,56.6907457299,39.1737224807,28.983263405
016007,65.4274932209,45.4197261818,33.4694414272
016008,70.7124259715,48.792272445,36.0287926179
016009,67.7094484223,46.7651144803,34.6636029846
016010,60.834246421,41.9312808024,31.0983825405
016011,53.8958467644,36.9012017697,27.3560755124
016012,47.394704648,32.4510088332,23.9122618286
016101,44.788483996,30.6963018245,22.5442104162
016102,43.8107763649,29.6974360256,21.8949509421
016103,45.2666837264,31.0107028091,22.7852788683
016104,46.2824843818,31.2007427474,22.899999092
016105,49.7437226783,33.8930515985,24.9726399928
016106,57.6161127752,39.6968967415,29.3262877668
016107,66.1350800129,45.5087908877,33.5288262615
016108,70.1005479206,47.9470570648,35.406346714
016109,67.5079903109,46.0325691247,34.215604952
016110,60.8978470363,41.4881082669,30.8685519871
016111,53.4365689229,36.3950993334,27.0571996434
016112,47.7269321583,32.3865810097,23.9854469256
016201,45.359783826,30.6751814403,22.636604625
016202,43.5076329513,29.3727518442,21.7265034313
016203,44.9759297179,30.6095558841,22.597409277
016204,46.7512252481,31.4922373806,23.1358810774
016205,49.6638500286,33.4620713705,24.705593834
016206,56.1089239277,37.9891781633,28.2713373235
016207,64.3867904833,43.9343479885,32.4611093866
016208,67.425386852,45.977338795,34.0854849185
016209,65.3251093541,44.4408740877,33.0787283209
016210,58.4859055381,39.86535421,29.6625055601
016211,52.2160358229,35.5167022359,26.4624952851
016212,46.0468015508,31.3785937429,23.2338265869
016301,43.4580198926,29.6111562188,21.8075239774
016302,42.2144239382,28.8031504098,21.2572273837
016303,43.7453139797,29.6289864532,21.8383282046
016304,45.3870699916,30.8260870858,22.6143244378
016305,47.9493978984,32.6715556662,24.122399669
016306,54.492684084,37.3875776913,27.7349036062
016307,63.7536223005,43.8592758672,32.3994163063
016308,68.7111757723,46.9611580503,34.8530702329
016309,67.2388785389,46.0265553842,34.1944849147
016310,58.5107830352,39.7729230152,29.6885646192
016311,52.2701073533,35.7544314673,26.6699575217
016312,47.1230063444,32.1990283308,23.8248654899
016401,43.6882075552,29.8018957652,21.9770386895
016402,43.328526108,29.4579413175,21.7730799654
016403,44.7244461401,30.1803626539,22.3053650814
016404,46.1500465433,31.0993540434,22.9065663282
016405,48.7609169615,33.2121930909,24.5917595442
016406,56.4002223476,38.1443463501,28.427680353
016407,65.3493710932,44.2056132655,32.8179507919
016408,70.4379114427,47.5495690132,35.4114525293
016409,65.9944491517,44.4991034012,33.2633074431
016410,59.0046636601,39.7200654036,29.782858657
016411,52.1747968079,35.0228024107,26.2876939689
016412,46.1613628407,30.9115533256,23.0269258485
016501,44.089762994,29.6544508895,22.0481057945
016502,43.337654035,28.9981387183,21.5688400796
016503,44.5731700736,29.7408882005,22.1678069235
016504,45.0955795622,30.2281401556,22.3942531696
016505,49.4378875956,33.2107508374,24.5821907038
016506,56.7968530505,38.4154709526,28.5990313032
016507,63.8518000124,43.6108784028,32.2956818107
016508,69.0043942476,46.8359491479,34.8001901604
016509,66.337660096,44.9628432085,33.477844039
016510,58.9065792985,39.9620818732,29.8483030225
016511,53.0407320929,35.8891261048,26.8699118335
016512,46.2996386324,31.5706070799,23.4094686018
016601,43.3219463112,29.5770865929,21.8935390926
