date,co2,no_co2,spinup
015102,2.96457832369e-05,2.50014039888e-05,2.40366954076e-05
015103,3.06724247494e-05,2.54724244512e-05,2.40101367521e-05
015104,3.30837877342e-05,2.76087425867e-05,2.55817944979e-05
015105,3.90095629145e-05,3.27292245353e-05,2.93489384339e-05
015106,4.64144444475e-05,3.89203178719e-05,3.60237941058e-05
015107,5.04267496514e-05,4.12232332044e-05,3.88645752621e-05
015108,5.09319428141e-05,4.05675940733e-05,3.8338629452e-05
015109,4.82732615505e-05,3.85253776729e-05,3.6196370815e-05
015110,4.51290059771e-05,3.6495167449e-05,3.38997130935e-05
015111,4.08896014861e-05,3.32000657257e-05,3.04505587886e-05
015112,3.5718048684e-05,2.90374925932e-05,2.6396372543e-05
015201,3.37622519991e-05,2.72263478199e-05,2.46515718389e-05
015202,3.16596400532e-05,2.6349181655e-05,2.37663634585e-05
015203,3.22526580284e-05,2.67907942057e-05,2.41813338822e-05
015204,3.4229600434e-05,2.8267839744e-05,2.54630053094e-05
015205,3.84839992518e-05,3.19785752185e-05,2.85782353236e-05
015206,4.57251409375e-05,3.80398252166e-05,3.47002385344e-05
015207,4.97518497741e-05,4.1075555795e-05,3.80022267195e-05
015208,5.03872877103e-05,4.10729645477e-05,3.81326905743e-05
015209,4.76326942e-05,3.84491559397e-05,3.56182128846e-05
015210,4.44937881923e-05,3.60735688558e-05,3.31849723312e-05
015211,3.98157086781e-05,3.27030881376e-05,2.96133170572e-05
015212,3.48679095388e-05,2.88790333105e-05,2.59692160893e-05
015301,3.3174382565e-05,2.75267603661e-05,2.46790551222e-05
015302,3.19515993513e-05,2.67961362262e-05,2.3927419158e-05
015303,3.25016313501e-05,2.70332668703e-05,2.41646124354e-05
015304,3.45204773368e-05,2.87429776921e-05,2.56108309162e-05
015305,3.90684547841e-05,3.27534957613e-05,2.90899800173e-05
015306,4.5897082944e-05,3.90288742378e-05,3.54257269365e-05
015307,4.96141038881e-05,4.19738996285e-05,3.86709868216e-05
015308,5.01430196759e-05,4.17497422882e-05,3.87436340171e-05
015309,4.79657061032e-05,3.97866046602e-05,3.68004655531e-05
015310,4.48059892402e-05,3.75049974859e-05,3.4311204454e-05
015311,4.0051361192e-05,3.3766222533e-05,3.04378041731e-05
015312,3.46815228565e-05,2.93757529635e-05,2.62860433984e-05
015401,3.29097423392e-05,2.80499716441e-05,2.49839449042e-05
015402,3.2529280792e-05,2.72140814354e-05,2.42263640817e-05
015403,3.2965777351e-05,2.72566524333e-05,2.42829369684e-05
015404,3.46412457302e-05,2.87673085028e-05,2.54962236601e-05
015405,3.94287387234e-05,3.27970148855e-05,2.89814855862e-05
015406,4.65922505358e-05,3.90332760327e-05,3.53368067603e-05
015407,5.06399857326e-05,4.20604697081e-05,3.86203312794e-05
015408,5.09911975363e-05,4.16000418525e-05,3.84853152351e-05
015409,4.86457817059e-05,3.95760939189e-05,3.64728176124e-05
015410,4.54417784669e-05,3.7378428648e-05,3.40886445565e-05
015411,4.10462384283e-05,3.38033558297e-05,3.05093537111e-05
015412,3.55559645194e-05,2.94298954665e-05,2.63157603399e-05
015501,3.33838320181e-05,2.76779468244e-05,2.46691757417e-05
015502,3.26729903085e-05,2.65472392486e-05,2.36401419233e-05
015503,3.29987767589e-05,2.65463528547e-05,2.36272258999e-05
015504,3.51799482133e-05,2.82943051361e-05,2.51154632819e-05
015505,3.9975880693e-05,3.24752901541e-05,2.85938911681e-05
015506,4.76943692115e-05,3.90047280731e-05,3.52524398099e-05
015507,5.19790531618e-05,4.22536202191e-05,3.87831006163e-05
015508,5.23810524806e-05,4.18878238743e-05,3.86107225536e-05
015509,4.98895696906e-05,3.97499153567e-05,3.65665652379e-05
015510,4.6860198173e-05,3.78027488061e-05,3.44565858592e-05
015511,4.19194670003e-05,3.41673420073e-05,3.06538372881e-05
015512,3.63372095793e-05,2.97568365697e-05,2.65074706241e-05
015601,3.45279022711e-05,2.8188844761e-05,2.5094920312e-05
015602,3.36863384667e-05,2.71316709799e-05,2.41040044227e-05
015603,3.38111080244e-05,2.71437957795e-05,2.41055628161e-05
015604,3.60900819e-05,2.89202786208e-05,2.5614495832e-05
015605,4.16868969319e-05,3.33629665828e-05,2.95317997268e-05
015606,4.8803411651e-05,3.94892049536e-05,3.57757887399e-05
015607,5.28841934373e-05,4.25061791758e-05,3.89122384726e-05
015608,5.34675020111e-05,4.22546987236e-05,3.90024077954e-05
015609,5.09215053281e-05,4.00928154685e-05,3.69461219202e-05
015610,4.74967350029e-05,3.78087622322e-05,3.4528227349e-05
015611,4.25156986061e-05,3.40676562246e-05,3.06817563834e-05
015612,3.65858736962e-05,2.94220322899e-05,2.63951295111e-05
015701,3.46749546717e-05,2.78002774944e-05,2.48747900756e-05
015702,3.38527149835e-05,2.67474037221e-05,2.39307448675e-05
015703,3.43783243628e-05,2.74273968335e-05,2.44407435702e-05
015704,3.66302912725e-05,2.89442928749e-05,2.57088122587e-05
015705,4.14398436048e-05,3.28850943825e-05,2.90757654387e-05
015706,4.87175433769e-05,3.90904259779e-05,3.52296621063e-05
015707,5.32171363897e-05,4.22061725277e-05,3.87047586088e-05
015708,5.37488869291e-05,4.19721864487e-05,3.87386874099e-05
015709,5.11215991439e-05,3.96635289047e-05,3.65330621078e-05
015710,4.76378303715e-05,3.74512174734e-05,3.41493648466e-05
015711,4.26692222751e-05,3.36861846811e-05,3.03853710803e-05
015712,3.68097362346e-05,2.9361413347e-05,2.62453758927e-05
015801,3.50636993483e-05,2.81495082887e-05,2.50902153013e-05
015802,3.42101846094e-05,2.71760786553e-05,2.42095116268e-05
015803,3.46751131353e-05,2.72904903487e-05,2.42627706249e-05
015804,3.6219426797e-05,2.84198569924e-05,2.52837421229e-05
015805,4.13092012263e-05,3.26149098e-05,2.88553065874e-05
015806,4.93758035746e-05,3.93152165064e-05,3.54752237291e-05
015807,5.37296792227e-05,4.23424203443e-05,3.87833770769e-05
015808,5.43622335861e-05,4.23177978681e-05,3.90115686762e-05
015809,5.17450514164e-05,4.02092425809e-05,3.69994643222e-05
015810,4.82801710838e-05,3.77704468939e-05,3.45444697655e-05
015811,4.31094589688e-05,3.40594338235e-05,3.07243807609e-05
015812,3.72056638741e-05,2.98147867939e-05,2.65918436272e-05
015901,3.53585758281e-05,2.83045333919e-05,2.52243888277e-05
015902,3.43600149184e-05,2.71417261044e-05,2.41962967264e-05
015903,3.4876719725e-05,2.7439591707e-05,2.4470881847e-05
015904,3.67192022036e-05,2.86555538564e-05,2.5532008439e-05
015905,4.12970148927e-05,3.24170546193e-05,2.87081151162e-05
015906,4.93761085453e-05,3.91652309114e-05,3.5249882805e-05
015907,5.42476079394e-05,4.27099870551e-05,3.91381943555e-05
015908,5.50218916041e-05,4.27179046104e-05,3.94115632776e-05
015909,5.2297212041e-05,4.01919573822e-05,3.71606156816e-05
015910,4.85467147214e-05,3.77699571057e-05,3.46197518454e-05
015911,4.35497672536e-05,3.42185120002e-05,3.08657925072e-05
015912,3.75489101635e-05,2.969669044e-05,2.66262216638e-05
016001,3.52953687006e-05,2.8042953785e-05,2.50091619795e-05
016002,3.47019975046e-05,2.73990329164e-05,2.44398639668e-05
016003,3.51438747575e-05,2.76732925278e-05,2.46688377321e-05
016004,3.73235460113e-05,2.92622186373e-05,2.59163816771e-05
016005,4.2567535088e-05,3.36103421954e-05,2.97634527322e-05
016006,4.9978084677e-05,3.97113299649e-05,3.58619604989e-05
016007,5.41881153985e-05,4.24339173033e-05,3.89370715273e-05
016008,5.48043212644e-05,4.23019675367e-05,3.90359235238e-05
016009,5.19758307452e-05,4.00389864553e-05,3.69064855462e-05
016010,4.82826508411e-05,3.7428169573e-05,3.42416217436e-05
016011,4.32880645313e-05,3.38143999173e-05,3.0472566509e-05
016012,3.71990878813e-05,2.92714405512e-05,2.62118209158e-05
016101,3.51262683386e-05,2.77144397603e-05,2.47606195976e-05
016102,3.43092536984e-05,2.68972226318e-05,2.40463807059e-05
016103,3.49034506905e-05,2.72093523152e-05,2.42902064545e-05
016104,3.69002485022e-05,2.86931335442e-05,2.55876496082e-05
016105,4.21183613397e-05,3.28297836438e-05,2.90834856186e-05
016106,5.0091556117e-05,3.94447241479e-05,3.57065208429e-05
016107,5.40777845601e-05,4.20047650625e-05,3.86552936017e-05
016108,5.40397530094e-05,4.12135721654e-05,3.81645591426e-05
016109,5.13440215339e-05,3.90083651671e-05,3.60756871369e-05
016110,4.78459605435e-05,3.68569876519e-05,3.37736235321e-05
016111,4.29894829361e-05,3.35171138612e-05,3.02721443548e-05
016112,3.71841872108e-05,2.92388131717e-05,2.62752943935e-05
016201,3.52658461726e-05,2.77926488351e-05,2.48996204117e-05
016202,3.42372992881e-05,2.68935942602e-05,2.40656240209e-05
016203,3.50267066785e-05,2.74018122043e-05,2.45385303855e-05
016204,3.67553673475e-05,2.83828714667e-05,2.54426301707e-05
016205,4.156982271e-05,3.20605550357e-05,2.84660577516e-05
016206,4.95672188622e-05,3.87953540131e-05,3.51399056458e-05
016207,5.41434007505e-05,4.21763734245e-05,3.86756066251e-05
016208,5.44395257111e-05,4.19686915071e-05,3.87567578502e-05
016209,5.17145778199e-05,3.97430172126e-05,3.66454178846e-05
016210,4.80644124736e-05,3.72763696107e-05,3.40710651517e-05
016211,4.26427428586e-05,3.31114678231e-05,2.98884452712e-05
016212,3.68500941566e-05,2.88155757093e-05,2.58340220943e-05
016301,3.48433952514e-05,2.74208640648e-05,2.44997607461e-05
016302,3.40108227623e-05,2.66133169892e-05,2.37856530643e-05
016303,3.48006555517e-05,2.70736457835e-05,2.42415037241e-05
016304,3.68228603777e-05,2.84938298014e-05,2.53458918627e-05
016305,4.21487059116e-05,3.29716311741e-05,2.92281023138e-05
016306,4.98198902622e-05,3.93519474005e-05,3.55856861801e-05
016307,5.40713302426e-05,4.21367160237e-05,3.87110638486e-05
016308,5.43932017646e-05,4.17287453373e-05,3.86113816113e-05
016309,5.12165201822e-05,3.87168119437e-05,3.58237237963e-05
016310,4.73499010059e-05,3.61397493121e-05,3.31293447289e-05
016311,4.25071007129e-05,3.28745027256e-05,2.9710358612e-05
016312,3.69427202454e-05,2.86550443767e-05,2.57653521407e-05
016401,3.45229378613e-05,2.66632176126e-05,2.38931942851e-05
016402,3.38969790441e-05,2.60956185854e-05,2.34099991822e-05
016403,3.4694286023e-05,2.6734324332e-05,2.39386504665e-05
016404,3.69561048515e-05,2.86527359652e-05,2.56749320072e-05
016405,4.18299360312e-05,3.24813169565e-05,2.88780756057e-05
016406,4.966118827e-05,3.85189739096e-05,3.50415873091e-05
016407,5.38967353832e-05,4.14877598457e-05,3.82817726595e-05
016408,5.42154041179e-05,4.10152966431e-05,3.81135666978e-05
016409,5.12135864246e-05,3.86372723882e-05,3.57194352362e-05
016410,4.75722040454e-05,3.62661193497e-05,3.33834497481e-05
016411,4.25830000146e-05,3.29008133072e-05,2.9855886164e-05
