date,co2,no_co2,spinup
015102,103.402533937,102.738541077,102.653970779
015103,103.720379149,101.167412167,100.703375433
015104,104.848808668,100.964387882,100.301754107
015105,108.974721746,103.877706245,101.92058286
015106,117.703081006,111.158817243,109.262202335
015107,124.994722491,116.038800316,115.1951527
015108,127.82564673,115.829150052,116.039779261
015109,128.679835125,115.274978462,115.45260469
015110,131.284706749,116.440904706,116.414820627
015111,133.160657642,116.698463135,116.216457308
015112,128.418441755,110.752947424,109.658046812
015201,126.047125491,107.192609046,106.036397022
015202,123.388611048,103.923841439,102.79614649
015203,122.389237164,102.9499899,101.745710953
015204,122.31946526,102.208676625,100.850897001
015205,124.015066161,103.691027757,102.157886012
015206,131.688476878,109.564760689,107.683410049
015207,139.445154503,115.118957504,112.84687436
015208,141.717726074,116.408152711,114.680160501
015209,141.203539864,115.663360915,114.072310864
015210,142.081125542,116.196449398,114.725003491
015211,141.772571075,116.082846468,113.998541949
015212,135.090407607,110.288011912,107.671117189
015301,131.252922446,107.025132616,104.418023489
015302,127.898947166,104.168473795,101.640838823
015303,125.985465502,102.75855074,100.175553764
015304,125.465464901,102.500849669,99.6549839318
015305,126.330710491,103.75608829,100.963166716
015306,134.3037773,110.545296919,107.547251109
015307,141.523042527,116.416675761,112.972673017
015308,143.294723719,117.258785569,114.66701166
015309,142.247840813,116.608244318,114.298371536
015310,142.707107143,117.724193281,115.336671383
015311,142.494748784,117.659939014,114.906390248
015312,135.789426526,112.121353992,108.764343301
015401,131.894060642,108.990362272,105.671982572
015402,128.22872609,106.205030162,103.022087655
015403,126.260862981,104.425091968,101.317901131
015404,125.69656196,104.126120967,100.768084021
015405,126.567049983,105.603531151,102.349969465
015406,134.189242601,112.098135587,108.623483012
015407,142.881885698,118.804019512,115.012736358
015408,144.808158923,119.541926674,116.686461939
015409,143.545632634,118.534500321,115.96095367
015410,144.299961517,119.676254589,117.032527094
015411,144.473526286,119.414941152,116.561640267
015412,138.211608194,113.541143726,110.104567873
015501,134.132838768,110.080930803,106.67189041
015502,130.095532364,106.618040885,103.410327412
015503,128.023514756,104.72795876,101.520718096
015504,127.579397562,104.007294922,100.747957715
015505,128.645739771,105.614651621,102.235490873
