date,co2,no_co2,spinup
015102,1.03862841154e-05,6.89581675598e-06,7.41693460387e-06
015103,1.07807913081e-05,7.19586712772e-06,7.43134152167e-06
015104,1.21860777681e-05,8.63303319804e-06,8.46979379256e-06
015105,1.6071042967e-05,1.20943081027e-05,1.10480981414e-05
015106,2.00841169752e-05,1.54630570406e-05,1.50844531064e-05
015107,2.13002820804e-05,1.57555914306e-05,1.58727886917e-05
015108,2.06650037989e-05,1.46978924668e-05,1.48758066452e-05
015109,1.8565683818e-05,1.31416787722e-05,1.32389831876e-05
015110,1.67333612372e-05,1.22898113103e-05,1.20746898362e-05
015111,1.40461023832e-05,1.05042986098e-05,1.00635896948e-05
015112,1.12582491885e-05,8.6130543245e-06,8.11876681932e-06
015201,1.03784599992e-05,7.95917230839e-06,7.46482884605e-06
015202,9.12842049512e-06,7.71117074219e-06,7.17535842162e-06
015203,9.4139926567e-06,7.82346271657e-06,7.3308250602e-06
015204,1.05009617408e-05,8.76507616984e-06,8.18248521374e-06
015205,1.33173479364e-05,1.12949811829e-05,1.02850848121e-05
015206,1.7403786468e-05,1.48835052893e-05,1.42206063851e-05
015207,1.87759521022e-05,1.5910736945e-05,1.57027464904e-05
015208,1.82964453679e-05,1.51401617207e-05,1.50647742285e-05
015209,1.63831470291e-05,1.32678399964e-05,1.32152518682e-05
015210,1.46834284883e-05,1.2030858932e-05,1.18180742114e-05
015211,1.22021415992e-05,1.03474888357e-05,9.85980023903e-06
015212,9.63289487915e-06,8.49694104047e-06,8.01756381184e-06
015301,9.11757522736e-06,8.11499595243e-06,7.6144593662e-06
015302,8.7261125827e-06,7.94163884269e-06,7.38728435009e-06
015303,9.0712108482e-06,7.96534321966e-06,7.46223309682e-06
015304,1.02795924457e-05,9.01691235614e-06,8.39392583933e-06
015305,1.36576393735e-05,1.19657118688e-05,1.0915316305e-05
015306,1.74694304172e-05,1.56582295495e-05,1.49349963548e-05
015307,1.85498361587e-05,1.64670817668e-05,1.62418837906e-05
015308,1.80314237086e-05,1.5606220966e-05,1.55869363776e-05
015309,1.65864058266e-05,1.41744816722e-05,1.4109443964e-05
015310,1.49857696047e-05,1.29411738335e-05,1.26390870613e-05
015311,1.24167404017e-05,1.0966973686e-05,1.03894041063e-05
015312,9.63329872365e-06,8.69247645384e-06,8.1716758404e-06
015401,9.10876625461e-06,8.36162720091e-06,7.78262616516e-06
015402,9.3856540213e-06,8.08421274354e-06,7.52185094501e-06
