date,co2,no_co2,spinup
015102,75.6278145009,26.9140484878,26.9140484878
015103,75.6598664555,26.9254549727,26.9254549727
015104,75.5732322665,26.8946240386,26.8946240386
015105,75.5531527797,26.8874782479,26.8874782479
015106,75.5911332593,26.9009945408,26.9009945408
015107,75.5407863476,26.8830773437,26.8830773437
015108,75.4892813923,26.8647480134,26.8647480134
015109,75.5102999356,26.8722279938,26.8722279938
015110,75.584897561,26.8987754176,26.8987754176
015111,75.6174572817,26.9103626052,26.9103626052
015112,75.7009110204,26.9400617101,26.9400617101
015201,75.6507453268,26.9222089823,26.9222089823
015202,75.6278145009,26.9140484878,26.9140484878
015203,75.6598664555,26.9254549727,26.9254549727
015204,75.5732322665,26.8946240386,26.8946240386
015205,75.5531527797,26.8874782479,26.8874782479
015206,75.5911332593,26.9009945408,26.9009945408
015207,75.5407863476,26.8830773437,26.8830773437
015208,75.4892813923,26.8647480134,26.8647480134
015209,75.5102999356,26.8722279938,26.8722279938
015210,75.584897561,26.8987754176,26.8987754176
015211,75.6174572817,26.9103626052,26.9103626052
015212,75.7009110204,26.9400617101,26.9400617101
015301,75.6507453268,26.9222089823,26.9222089823
015302,75.6278145009,26.9140484878,26.9140484878
015303,75.6598664555,26.9254549727,26.9254549727
015304,75.5732322665,26.8946240386,26.8946240386
015305,75.5531527797,26.8874782479,26.8874782479
015306,75.5911332593,26.9009945408,26.9009945408
015307,75.5407863476,26.8830773437,26.8830773437
015308,75.4892813923,26.8647480134,26.8647480134
015309,75.5102999356,26.8722279938,26.8722279938
015310,75.584897561,26.8987754176,26.8987754176
015311,75.6174572817,26.9103626052,26.9103626052
015312,75.7009110204,26.9400617101,26.9400617101
015401,75.6507453268,26.9222089823,26.9222089823
015402,75.6278145009,26.9140484878,26.9140484878
015403,75.6598664555,26.9254549727,26.9254549727
015404,75.5732322665,26.8946240386,26.8946240386
015405,75.5531527797,26.8874782479,26.8874782479
015406,75.5911332593,26.9009945408,26.9009945408
015407,75.5407863476,26.8830773437,26.8830773437
015408,75.4892813923,26.8647480134,26.8647480134
015409,75.5102999356,26.8722279938,26.8722279938
015410,75.584897561,26.8987754176,26.8987754176
015411,75.6174572817,26.9103626052,26.9103626052
015412,75.7009110204,26.9400617101,26.9400617101
015501,75.6507453268,26.9222089823,26.9222089823
015502,75.6278145009,26.9140484878,26.9140484878
015503,75.6598664555,26.9254549727,26.9254549727
015504,75.5732322665,26.8946240386,26.8946240386
015505,75.5531527797,26.8874782479,26.8874782479
015506,75.5911332593,26.9009945408,26.9009945408
015507,75.5407863476,26.8830773437,26.8830773437
015508,75.4892813923,26.8647480134,26.8647480134
015509,75.5102999356,26.8722279938,26.8722279938
015510,75.584897561,26.8987754176,26.8987754176
015511,75.6174572817,26.9103626052,26.9103626052
015512,75.7009110204,26.9400617101,26.9400617101
015601,75.6507453268,26.9222089823,26.9222089823
015602,75.6278145009,26.9140484878,26.9140484878
015603,75.6598664555,26.9254549727,26.9254549727
015604,75.5732322665,26.8946240386,26.8946240386
015605,75.5531527797,26.8874782479,26.8874782479
015606,75.5911332593,26.9009945408,26.9009945408
015607,75.5407863476,26.8830773437,26.8830773437
015608,75.4892813923,26.8647480134,26.8647480134
015609,75.5102999356,26.8722279938,26.8722279938
015610,75.584897561,26.8987754176,26.8987754176
015611,75.6174572817,26.9103626052,26.9103626052
015612,75.7009110204,26.9400617101,26.9400617101
015701,75.6507453268,26.9222089823,26.9222089823
015702,75.6278145009,26.9140484878,26.9140484878
015703,75.6598664555,26.9254549727,26.9254549727
015704,75.5732322665,26.8946240386,26.8946240386
015705,75.5531527797,26.8874782479,26.8874782479
015706,75.5911332593,26.9009945408,26.9009945408
015707,75.5407863476,26.8830773437,26.8830773437
015708,75.4892813923,26.8647480134,26.8647480134
015709,75.5102999356,26.8722279938,26.8722279938
015710,75.584897561,26.8987754176,26.8987754176
015711,75.6174572817,26.9103626052,26.9103626052
015712,75.7009110204,26.9400617101,26.9400617101
015801,75.6507453268,26.9222089823,26.9222089823
015802,75.6278145009,26.9140484878,26.9140484878
015803,75.6598664555,26.9254549727,26.9254549727
015804,75.5732322665,26.8946240386,26.8946240386
015805,75.5531527797,26.8874782479,26.8874782479
015806,75.5911332593,26.9009945408,26.9009945408
015807,75.5407863476,26.8830773437,26.8830773437
015808,75.4892813923,26.8647480134,26.8647480134
015809,75.5102999356,26.8722279938,26.8722279938
015810,75.584897561,26.8987754176,26.8987754176
015811,75.6174572817,26.9103626052,26.9103626052
015812,75.7009110204,26.9400617101,26.9400617101
015901,75.6507453268,26.9222089823,26.9222089823
015902,75.6278145009,26.9140484878,26.9140484878
015903,75.6598664555,26.9254549727,26.9254549727
015904,75.5732322665,26.8946240386,26.8946240386
015905,75.5531527797,26.8874782479,26.8874782479
015906,75.5911332593,26.9009945408,26.9009945408
015907,75.5407863476,26.8830773437,26.8830773437
015908,75.4892813923,26.8647480134,26.8647480134
015909,75.5102999356,26.8722279938,26.8722279938
015910,75.584897561,26.8987754176,26.8987754176
015911,75.6174572817,26.9103626052,26.9103626052
015912,75.7009110204,26.9400617101,26.9400617101
016001,75.6507453268,26.9222089823,26.9222089823
016002,75.6278145009,26.9140484878,26.9140484878
016003,75.6598664555,26.9254549727,26.9254549727
