date,co2,no_co2,spinup
015102,1.81854688449e-05,1.81854688449e-05,1.81854688449e-05
015103,2.05622778436e-05,2.05622778436e-05,2.05622778436e-05
015104,2.20079472949e-05,2.20079472949e-05,2.20079472949e-05
015105,2.13991425995e-05,2.13991425995e-05,2.13991425995e-05
015106,2.10402574953e-05,2.10402574953e-05,2.10402574953e-05
015107,2.43640794891e-05,2.43640794891e-05,2.43640794891e-05
015108,2.70951516747e-05,2.70951516747e-05,2.70951516747e-05
015109,2.6709888506e-05,2.6709888506e-05,2.6709888506e-05
015110,2.29507049477e-05,2.29507049477e-05,2.29507049477e-05
015111,1.94861135621e-05,1.94861135621e-05,1.94861135621e-05
015112,1.76861751877e-05,1.76861751877e-05,1.76861751877e-05
015201,1.83335695128e-05,1.83335695128e-05,1.83335695128e-05
015202,1.88110268641e-05,1.88110268641e-05,1.88110268641e-05
015203,1.93571869285e-05,1.93571869285e-05,1.93571869285e-05
015204,2.07677447392e-05,2.07677447392e-05,2.07677447392e-05
015205,1.97572756006e-05,1.97572756006e-05,1.97572756006e-05
015206,2.16093884744e-05,2.16093884744e-05,2.16093884744e-05
015207,2.38472638364e-05,2.38472638364e-05,2.38472638364e-05
015208,2.69023592532e-05,2.69023592532e-05,2.69023592532e-05
015209,2.5704613157e-05,2.5704613157e-05,2.5704613157e-05
015210,2.34932675792e-05,2.34932675792e-05,2.34932675792e-05
015211,1.88851884092e-05,1.88851884092e-05,1.88851884092e-05
015212,1.79554756909e-05,1.79554756909e-05,1.79554756909e-05
015301,1.81396339973e-05,1.81396339973e-05,1.81396339973e-05
015302,1.85746705661e-05,1.85746705661e-05,1.85746705661e-05
015303,1.96353074729e-05,1.96353074729e-05,1.96353074729e-05
015304,2.11464973789e-05,2.11464973789e-05,2.11464973789e-05
015305,2.07906562181e-05,2.07906562181e-05,2.07906562181e-05
015306,2.25180927378e-05,2.25180927378e-05,2.25180927378e-05
015307,2.56143410919e-05,2.56143410919e-05,2.56143410919e-05
015308,2.77304643866e-05,2.77304643866e-05,2.77304643866e-05
015309,2.88611543405e-05,2.88611543405e-05,2.88611543405e-05
015310,2.38618898242e-05,2.38618898242e-05,2.38618898242e-05
015311,1.95351753856e-05,1.95351753856e-05,1.95351753856e-05
015312,1.76736986712e-05,1.76736986712e-05,1.76736986712e-05
015401,1.93640719344e-05,1.93640719344e-05,1.93640719344e-05
015402,2.00315187678e-05,2.00315187678e-05,2.00315187678e-05
015403,1.91012825926e-05,1.91012825926e-05,1.91012825926e-05
015404,2.19186622689e-05,2.19186622689e-05,2.19186622689e-05
015405,2.14877127315e-05,2.14877127315e-05,2.14877127315e-05
015406,2.2192755251e-05,2.2192755251e-05,2.2192755251e-05
015407,2.42099888194e-05,2.42099888194e-05,2.42099888194e-05
015408,2.72753028229e-05,2.72753028229e-05,2.72753028229e-05
015409,2.65035109842e-05,2.65035109842e-05,2.65035109842e-05
015410,2.29944569403e-05,2.29944569403e-05,2.29944569403e-05
015411,2.00811774299e-05,2.00811774299e-05,2.00811774299e-05
015412,1.67973301488e-05,1.67973301488e-05,1.67973301488e-05
015501,1.85979177294e-05,1.85979177294e-05,1.85979177294e-05
015502,1.83277369032e-05,1.83277369032e-05,1.83277369032e-05
015503,1.86432551774e-05,1.86432551774e-05,1.86432551774e-05
015504,2.04617180282e-05,2.04617180282e-05,2.04617180282e-05
015505,2.12648144262e-05,2.12648144262e-05,2.12648144262e-05
015506,2.2574888767e-05,2.2574888767e-05,2.2574888767e-05
015507,2.43245541043e-05,2.43245541043e-05,2.43245541043e-05
015508,2.77622439564e-05,2.77622439564e-05,2.77622439564e-05
015509,2.72350571193e-05,2.72350571193e-05,2.72350571193e-05
015510,2.56236033205e-05,2.56236033205e-05,2.56236033205e-05
015511,2.05211147765e-05,2.05211147765e-05,2.05211147765e-05
015512,1.8351936745e-05,1.8351936745e-05,1.8351936745e-05
015601,1.84072296425e-05,1.84072296425e-05,1.84072296425e-05
015602,1.93591716121e-05,1.93591716121e-05,1.93591716121e-05
015603,2.02477022114e-05,2.02477022114e-05,2.02477022114e-05
015604,2.07949990042e-05,2.07949990042e-05,2.07949990042e-05
015605,2.1605908986e-05,2.1605908986e-05,2.1605908986e-05
015606,2.21197430134e-05,2.21197430134e-05,2.21197430134e-05
015607,2.58394723445e-05,2.58394723445e-05,2.58394723445e-05
015608,2.80085088186e-05,2.80085088186e-05,2.80085088186e-05
015609,2.80677360135e-05,2.80677360135e-05,2.80677360135e-05
015610,2.41432819778e-05,2.41432819778e-05,2.41432819778e-05
015611,1.96387173616e-05,1.96387173616e-05,1.96387173616e-05
015612,1.82922216187e-05,1.82922216187e-05,1.82922216187e-05
015701,1.92008877598e-05,1.92008877598e-05,1.92008877598e-05
015702,1.87839389118e-05,1.87839389118e-05,1.87839389118e-05
015703,2.18088231044e-05,2.18088231044e-05,2.18088231044e-05
015704,2.08165308267e-05,2.08165308267e-05,2.08165308267e-05
015705,2.23536447717e-05,2.23536447717e-05,2.23536447717e-05
015706,2.20314825129e-05,2.20314825129e-05,2.20314825129e-05
015707,2.4364609266e-05,2.4364609266e-05,2.4364609266e-05
015708,2.6458370661e-05,2.6458370661e-05,2.6458370661e-05
015709,2.69755102414e-05,2.69755102414e-05,2.69755102414e-05
015710,2.29062611637e-05,2.29062611637e-05,2.29062611637e-05
015711,1.96742521253e-05,1.96742521253e-05,1.96742521253e-05
015712,1.82005074329e-05,1.82005074329e-05,1.82005074329e-05
015801,1.99891545525e-05,1.99891545525e-05,1.99891545525e-05
015802,1.79515572107e-05,1.79515572107e-05,1.79515572107e-05
015803,2.02402603142e-05,2.02402603142e-05,2.02402603142e-05
015804,1.94462612731e-05,1.94462612731e-05,1.94462612731e-05
015805,2.11923733719e-05,2.11923733719e-05,2.11923733719e-05
015806,2.23229294775e-05,2.23229294775e-05,2.23229294775e-05
015807,2.45753074808e-05,2.45753074808e-05,2.45753074808e-05
015808,2.88535117248e-05,2.88535117248e-05,2.88535117248e-05
015809,2.89507112175e-05,2.89507112175e-05,2.89507112175e-05
015810,2.50038892542e-05,2.50038892542e-05,2.50038892542e-05
015811,2.01532957645e-05,2.01532957645e-05,2.01532957645e-05
015812,1.779766162e-05,1.779766162e-05,1.779766162e-05
