date,co2,no_co2,spinup
015102,3.40870782307e-06,3.40870782307e-06,3.40870782307e-06
015103,3.05492496765e-06,3.05492496765e-06,3.05492496765e-06
015104,2.63399599717e-06,2.63399599717e-06,2.63399599717e-06
015105,1.59359826713e-06,1.59359826713e-06,1.59359826713e-06
015106,9.648827829e-07,9.648827829e-07,9.648827829e-07
015107,5.25336414328e-07,5.25336414328e-07,5.25336414328e-07
015108,3.74254736478e-07,3.74254736478e-07,3.74254736478e-07
015109,4.92136578875e-07,4.92136578875e-07,4.92136578875e-07
015110,8.97660120777e-07,8.97660120777e-07,8.97660120777e-07
015111,2.06534521313e-06,2.06534521313e-06,2.06534521313e-06
015112,3.4205103923e-06,3.4205103923e-06,3.4205103923e-06
015201,3.54012901134e-06,3.54012901134e-06,3.54012901134e-06
015202,3.31969731931e-06,3.31969731931e-06,3.31969731931e-06
015203,2.99801852653e-06,2.99801852653e-06,2.99801852653e-06
015204,2.56115899323e-06,2.56115899323e-06,2.56115899323e-06
015205,1.90553149862e-06,1.90553149862e-06,1.90553149862e-06
015206,1.13668688755e-06,1.13668688755e-06,1.13668688755e-06
015207,5.68495111534e-07,5.68495111534e-07,5.68495111534e-07
015208,3.82806530201e-07,3.82806530201e-07,3.82806530201e-07
015209,3.99243682843e-07,3.99243682843e-07,3.99243682843e-07
015210,8.15748073033e-07,8.15748073033e-07,8.15748073033e-07
015211,2.31999668536e-06,2.31999668536e-06,2.31999668536e-06
015212,3.29664850391e-06,3.29664850391e-06,3.29664850391e-06
015301,3.72224550988e-06,3.72224550988e-06,3.72224550988e-06
015302,3.53873821433e-06,3.53873821433e-06,3.53873821433e-06
015303,3.06217334458e-06,3.06217334458e-06,3.06217334458e-06
015304,2.44093115428e-06,2.44093115428e-06,2.44093115428e-06
015305,1.83992218818e-06,1.83992218818e-06,1.83992218818e-06
015306,1.00131921659e-06,1.00131921659e-06,1.00131921659e-06
015307,5.16944148211e-07,5.16944148211e-07,5.16944148211e-07
015308,2.78840250546e-07,2.78840250546e-07,2.78840250546e-07
015309,3.70510753025e-07,3.70510753025e-07,3.70510753025e-07
015310,8.08083284553e-07,8.08083284553e-07,8.08083284553e-07
015311,2.16450270016e-06,2.16450270016e-06,2.16450270016e-06
015312,3.10487968629e-06,3.10487968629e-06,3.10487968629e-06
015401,3.06589936651e-06,3.06589936651e-06,3.06589936651e-06
015402,3.46173957856e-06,3.46173957856e-06,3.46173957856e-06
015403,3.0103560247e-06,3.0103560247e-06,3.0103560247e-06
015404,2.62578300829e-06,2.62578300829e-06,2.62578300829e-06
015405,1.72617022021e-06,1.72617022021e-06,1.72617022021e-06
015406,9.53003577076e-07,9.53003577076e-07,9.53003577076e-07
015407,5.06948124898e-07,5.06948124898e-07,5.06948124898e-07
015408,4.2010612546e-07,4.2010612546e-07,4.2010612546e-07
015409,3.93484198402e-07,3.93484198402e-07,3.93484198402e-07
015410,8.36122426953e-07,8.36122426953e-07,8.36122426953e-07
015411,1.84365980045e-06,1.84365980045e-06,1.84365980045e-06
015412,3.06313167751e-06,3.06313167751e-06,3.06313167751e-06
015501,3.2712921775e-06,3.2712921775e-06,3.2712921775e-06
015502,3.67199439044e-06,3.67199439044e-06,3.67199439044e-06
015503,3.20126497306e-06,3.20126497306e-06,3.20126497306e-06
015504,2.35426013789e-06,2.35426013789e-06,2.35426013789e-06
015505,1.93090703936e-06,1.93090703936e-06,1.93090703936e-06
015506,9.90330984452e-07,9.90330984452e-07,9.90330984452e-07
015507,5.75600542439e-07,5.75600542439e-07,5.75600542439e-07
015508,3.10192211706e-07,3.10192211706e-07,3.10192211706e-07
015509,4.43480774599e-07,4.43480774599e-07,4.43480774599e-07
015510,8.5979182352e-07,8.5979182352e-07,8.5979182352e-07
015511,2.20441333513e-06,2.20441333513e-06,2.20441333513e-06
015512,3.16879437173e-06,3.16879437173e-06,3.16879437173e-06
015601,3.19388623474e-06,3.19388623474e-06,3.19388623474e-06
015602,3.45038310533e-06,3.45038310533e-06,3.45038310533e-06
015603,3.04502058553e-06,3.04502058553e-06,3.04502058553e-06
015604,2.70328776017e-06,2.70328776017e-06,2.70328776017e-06
015605,1.55178079116e-06,1.55178079116e-06,1.55178079116e-06
015606,1.01019923318e-06,1.01019923318e-06,1.01019923318e-06
015607,5.29235399411e-07,5.29235399411e-07,5.29235399411e-07
015608,3.81314243602e-07,3.81314243602e-07,3.81314243602e-07
015609,3.59041892176e-07,3.59041892176e-07,3.59041892176e-07
015610,6.81030318447e-07,6.81030318447e-07,6.81030318447e-07
015611,1.9262481282e-06,1.9262481282e-06,1.9262481282e-06
015612,3.17124926749e-06,3.17124926749e-06,3.17124926749e-06
015701,3.73780268489e-06,3.73780268489e-06,3.73780268489e-06
015702,3.8110993932e-06,3.8110993932e-06,3.8110993932e-06
015703,3.23717279813e-06,3.23717279813e-06,3.23717279813e-06
015704,2.61588766033e-06,2.61588766033e-06,2.61588766033e-06
015705,1.80693273075e-06,1.80693273075e-06,1.80693273075e-06
015706,1.0532099213e-06,1.0532099213e-06,1.0532099213e-06
015707,6.07859487432e-07,6.07859487432e-07,6.07859487432e-07
015708,2.99629845613e-07,2.99629845613e-07,2.99629845613e-07
015709,3.65371670943e-07,3.65371670943e-07,3.65371670943e-07
015710,7.58078891765e-07,7.58078891765e-07,7.58078891765e-07
015711,2.05001616611e-06,2.05001616611e-06,2.05001616611e-06
015712,3.2132968004e-06,3.2132968004e-06,3.2132968004e-06
015801,3.31071091069e-06,3.31071091069e-06,3.31071091069e-06
015802,3.50627141502e-06,3.50627141502e-06,3.50627141502e-06
015803,3.29324841542e-06,3.29324841542e-06,3.29324841542e-06
015804,2.59804266908e-06,2.59804266908e-06,2.59804266908e-06
015805,1.81050773658e-06,1.81050773658e-06,1.81050773658e-06
015806,9.87656590775e-07,9.87656590775e-07,9.87656590775e-07
015807,4.66656061171e-07,4.66656061171e-07,4.66656061171e-07
015808,3.3271341753e-07,3.3271341753e-07,3.3271341753e-07
015809,4.31147940636e-07,4.31147940636e-07,4.31147940636e-07
015810,6.99650290817e-07,6.99650290817e-07,6.99650290817e-07
015811,2.14359841425e-06,2.14359841425e-06,2.14359841425e-06
015812,3.31245800336e-06,3.31245800336e-06,3.31245800336e-06
015901,3.29575840888e-06,3.29575840888e-06,3.29575840888e-06
015902,3.55196221279e-06,3.55196221279e-06,3.55196221279e-06
015903,3.3233892432e-06,3.3233892432e-06,3.3233892432e-06
015904,2.53943505148e-06,2.53943505148e-06,2.53943505148e-06
015905,1.96825129115e-06,1.96825129115e-06,1.96825129115e-06
015906,9.58030846805e-07,9.58030846805e-07,9.58030846805e-07
015907,5.46732083736e-07,5.46732083736e-07,5.46732083736e-07
015908,3.24966676855e-07,3.24966676855e-07,3.24966676855e-07
015909,4.06170624944e-07,4.06170624944e-07,4.06170624944e-07
015910,7.84316671821e-07,7.84316671821e-07,7.84316671821e-07
015911,1.87375258292e-06,1.87375258292e-06,1.87375258292e-06
015912,3.22048267988e-06,3.22048267988e-06,3.22048267988e-06
016001,3.41243965519e-06,3.41243965519e-06,3.41243965519e-06
016002,3.57373362867e-06,3.57373362867e-06,3.57373362867e-06
016003,2.90135123366e-06,2.90135123366e-06,2.90135123366e-06
016004,2.24216490748e-06,2.24216490748e-06,2.24216490748e-06
016005,1.68225065018e-06,1.68225065018e-06,1.68225065018e-06
016006,9.1500663908e-07,9.1500663908e-07,9.1500663908e-07
016007,5.82317388681e-07,5.82317388681e-07,5.82317388681e-07
016008,3.09153583752e-07,3.09153583752e-07,3.09153583752e-07
016009,3.70360688554e-07,3.70360688554e-07,3.70360688554e-07
016010,8.31923010654e-07,8.31923010654e-07,8.31923010654e-07
016011,2.11110224969e-06,2.11110224969e-06,2.11110224969e-06
016012,3.2037229945e-06,3.2037229945e-06,3.2037229945e-06
016101,3.1760893947e-06,3.1760893947e-06,3.1760893947e-06
016102,3.60715834429e-06,3.60715834429e-06,3.60715834429e-06
016103,3.22507594542e-06,3.22507594542e-06,3.22507594542e-06
016104,2.6223641548e-06,2.6223641548e-06,2.6223641548e-06
016105,1.75149685486e-06,1.75149685486e-06,1.75149685486e-06
016106,9.47055510765e-07,9.47055510765e-07,9.47055510765e-07
016107,4.75729872437e-07,4.75729872437e-07,4.75729872437e-07
016108,2.97051077353e-07,2.97051077353e-07,2.97051077353e-07
016109,3.98308857346e-07,3.98308857346e-07,3.98308857346e-07
016110,8.10647545412e-07,8.10647545412e-07,8.10647545412e-07
016111,2.17358774411e-06,2.17358774411e-06,2.17358774411e-06
016112,3.35296207138e-06,3.35296207138e-06,3.35296207138e-06
016201,3.01294287717e-06,3.01294287717e-06,3.01294287717e-06
016202,3.56702364116e-06,3.56702364116e-06,3.56702364116e-06
016203,2.79110628082e-06,2.79110628082e-06,2.79110628082e-06
016204,2.50433732367e-06,2.50433732367e-06,2.50433732367e-06
016205,1.90197278192e-06,1.90197278192e-06,1.90197278192e-06
016206,1.0013253237e-06,1.0013253237e-06,1.0013253237e-06
016207,5.25825708127e-07,5.25825708127e-07,5.25825708127e-07
016208,3.36332001234e-07,3.36332001234e-07,3.36332001234e-07
016209,3.93116978102e-07,3.93116978102e-07,3.93116978102e-07
016210,8.69782643376e-07,8.69782643376e-07,8.69782643376e-07
016211,2.28239417659e-06,2.28239417659e-06,2.28239417659e-06
016212,3.23855716871e-06,3.23855716871e-06,3.23855716871e-06
016301,3.09941645076e-06,3.09941645076e-06,3.09941645076e-06
016302,3.50208259446e-06,3.50208259446e-06,3.50208259446e-06
016303,3.0114713186e-06,3.0114713186e-06,3.0114713186e-06
016304,2.57665929899e-06,2.57665929899e-06,2.57665929899e-06
016305,1.74482979101e-06,1.74482979101e-06,1.74482979101e-06
016306,1.05479568594e-06,1.05479568594e-06,1.05479568594e-06
016307,5.24409238135e-07,5.24409238135e-07,5.24409238135e-07
016308,4.15083515416e-07,4.15083515416e-07,4.15083515416e-07
016309,4.04133507691e-07,4.04133507691e-07,4.04133507691e-07
016310,8.39741563155e-07,8.39741563155e-07,8.39741563155e-07
016311,2.37281782853e-06,2.37281782853e-06,2.37281782853e-06
016312,2.93857970956e-06,2.93857970956e-06,2.93857970956e-06
016401,3.08274958424e-06,3.08274958424e-06,3.08274958424e-06
016402,3.46894075022e-06,3.46894075022e-06,3.46894075022e-06
016403,2.78100376478e-06,2.78100376478e-06,2.78100376478e-06
016404,2.35906750171e-06,2.35906750171e-06,2.35906750171e-06
016405,1.81435367807e-06,1.81435367807e-06,1.81435367807e-06
016406,9.41964820997e-07,9.41964820997e-07,9.41964820997e-07
016407,6.76141891543e-07,6.76141891543e-07,6.76141891543e-07
016408,3.31668141922e-07,3.31668141922e-07,3.31668141922e-07
016409,4.15574578183e-07,4.15574578183e-07,4.15574578183e-07
016410,7.51275301071e-07,7.51275301071e-07,7.51275301071e-07
016411,1.89913940274e-06,1.89913940274e-06,1.89913940274e-06
016412,3.35629082425e-06,3.35629082425e-06,3.35629082425e-06
016501,3.15643419799e-06,3.15643419799e-06,3.15643419799e-06
016502,3.42916176897e-06,3.42916176897e-06,3.42916176897e-06
016503,2.98606459744e-06,2.98606459744e-06,2.98606459744e-06
016504,2.40364387742e-06,2.40364387742e-06,2.40364387742e-06
016505,1.64002853901e-06,1.64002853901e-06,1.64002853901e-06
016506,8.58274374547e-07,8.58274374547e-07,8.58274374547e-07
016507,5.17110397301e-07,5.17110397301e-07,5.17110397301e-07
016508,2.90292546628e-07,2.90292546628e-07,2.90292546628e-07
016509,4.0261335017e-07,4.0261335017e-07,4.0261335017e-07
016510,8.28245490363e-07,8.28245490363e-07,8.28245490363e-07
016511,2.14361399103e-06,2.14361399103e-06,2.14361399103e-06
016512,3.28299092756e-06,3.28299092756e-06,3.28299092756e-06
