date,co2,no_co2,spinup
015102,279.685281398,279.649970975,277.388247133
015103,281.331023168,281.314153359,278.895732662
015104,284.724283553,284.717851071,282.271236718
015105,289.346962448,289.335263373,286.871636087
015106,293.057744359,293.036883389,290.51314463
015107,296.033180877,296.030974438,293.486530341
015108,297.294038269,297.320160213,294.746824816
015109,296.704084702,296.727861053,294.180167744
015110,294.120239585,294.132876031,291.64817557
015111,289.937506993,289.94960036,287.426877812
015112,284.831800877,284.839420931,282.34189571
015201,280.739873512,280.768103621,278.273389858
015202,280.032559793,280.083891171,277.609230169
015203,281.614721968,281.679336813,279.17156473
015204,284.590938721,284.686931175,282.147904002
015205,289.082405118,289.182325989,286.589676845
015206,292.850658567,292.965008495,290.318217451
015207,295.83417545,295.975430637,293.386005327
015208,297.065560493,297.213780072,294.615863592
015209,296.47108028,296.612113988,294.041119849
015210,294.068993734,294.183709043,291.672805777
015211,289.796974687,289.876826799,287.3170927
015212,284.383194883,284.430139065,281.862125549
015301,280.49140825,280.541721613,278.029693931
015302,279.908644252,279.983221645,277.490725365
015303,281.617450639,281.719192303,279.199104457
015304,284.461646424,284.585861654,282.022998659
015305,289.060200725,289.186451035,286.577841644
015306,292.742934503,292.876313368,290.236816699
015307,295.707613374,295.85868882,293.257306134
015308,296.937612079,297.095876725,294.48662539
015309,296.393795962,296.535753204,293.96022643
015310,293.926552444,294.026786936,291.511150609
015311,289.794258483,289.858471869,287.295172453
015312,284.627225232,284.662475902,282.122620063
015401,280.548955218,280.585399275,278.044121266
015402,279.518098065,279.578406723,277.044703553
015403,281.073966227,281.158708634,278.615253277
015404,284.112775617,284.214872673,281.645040567
015405,288.986705767,289.095449909,286.480855545
015406,292.782227608,292.893940916,290.256462186
015407,295.642110531,295.782561722,293.174614717
015408,296.874600284,297.026897636,294.409819021
015409,296.47631361,296.612739149,294.031252094
015410,293.925374362,294.015210214,291.486540253
015411,289.979264978,290.043497678,287.501824753
015412,285.073802692,285.106770017,282.611528319
015501,280.97120611,281.001987016,278.504831071
015502,279.837070696,279.897936423,277.395386253
015503,280.896536769,280.979646289,278.409113369
015504,284.290398126,284.40244623,281.828336836
015505,288.964296153,289.077323117,286.454833009
015506,292.888885707,293.018759365,290.376572037
015507,295.843940016,296.00033102,293.396601228
015508,297.026742203,297.188190694,294.570106928
015509,296.448947443,296.593722953,294.004280339
015510,294.052672902,294.15736201,291.628008644
015511,289.960782722,290.029814354,287.47541508
015512,284.959898939,284.994886942,282.48050551
015601,281.027238106,281.060346623,278.546668267
015602,279.821218077,279.887448933,277.346502452
015603,281.082073492,281.164448785,278.596566746
015604,284.481910175,284.597728365,282.031290334
015605,289.531142798,289.664430338,287.083127097
015606,293.128077451,293.260158624,290.653733168
015607,295.970866096,296.130659598,293.536269594
015608,297.048355872,297.218425285,294.607859522
015609,296.533887945,296.683426753,294.100374449
015610,293.991075284,294.09327825,291.566132022
015611,290.027039229,290.099243134,287.56257213
015612,284.528325422,284.562245258,282.001226513
015701,280.988407005,281.025194767,278.542562723
015702,279.504856064,279.577938954,277.018427486
015703,280.969759936,281.050913019,278.491265115
015704,284.383477073,284.49899016,281.932713158
015705,288.950604096,289.083671731,286.441775521
015706,292.68978035,292.833407119,290.186318001
015707,295.57591604,295.749594845,293.128902278
015708,296.903995576,297.084172173,294.463393884
015709,296.344310182,296.505554531,293.90594458
015710,293.990495658,294.109013275,291.574459632
015711,290.047923187,290.128713847,287.579576339
015712,284.420675908,284.458693268,281.882993582
015801,280.589313837,280.633992908,278.094496258
015802,279.822042103,279.895034623,277.370949357
015803,281.22009506,281.321880732,278.777519838
015804,284.038747381,284.167563344,281.579227727
015805,288.904722301,289.04621062,286.43523817
015806,292.822733822,292.980341585,290.343342372
015807,295.778904652,295.96086998,293.342162297
015808,296.97044669,297.15750453,294.533180921
015809,296.356250203,296.522928045,293.922013493
015810,294.128677262,294.258420981,291.725190337
015811,289.979464173,290.063621472,287.497476548
015812,284.64124747,284.675823827,282.104257967
015901,280.802840534,280.837963154,278.303043421
015902,279.477914509,279.552916666,276.979593617
015903,281.16928201,281.262023642,278.706272632
015904,284.238666085,284.366183296,281.783161977
015905,288.822393979,288.960646925,286.339540648
015906,292.709797428,292.869065244,290.211415024
015907,295.647416048,295.833715543,293.208800788
015908,296.919912878,297.111246107,294.4806888
015909,296.511089018,296.693054025,294.097956286
015910,294.075775688,294.208852303,291.669091
015911,290.032059024,290.118043777,287.563153249
015912,284.901800677,284.94272,282.413277057
016001,280.765023124,280.797183975,278.278630679
016002,279.820997263,279.89035992,277.369274503
016003,281.287265127,281.378152037,278.835381591
016004,284.370464365,284.50218152,281.938232833
016005,289.214386411,289.366812577,286.743516028
016006,292.892565132,293.058205114,290.421660761
016007,295.761702485,295.957159101,293.33856826
016008,297.077435764,297.277285094,294.656753215
016009,296.500170729,296.675466042,294.078315311
016010,293.992898106,294.118198148,291.581377836
016011,289.868532273,289.953749037,287.381196923
016012,284.427160329,284.464175427,281.887251641
016101,280.584276713,280.621756798,278.069747107
016102,279.564354596,279.632325424,277.074152517
016103,280.971362762,281.059240881,278.489433325
016104,284.152267524,284.28246055,281.690076463
016105,289.035614054,289.184863506,286.565847967
016106,292.815569547,292.982328508,290.317980644
016107,295.781213812,295.982203035,293.348996992
016108,296.98407978,297.19305881,294.561629321
016109,296.433563406,296.620270599,294.011130251
016110,293.947290521,294.07442621,291.527008427
016111,289.957001066,290.039201324,287.481704039
016112,284.829115031,284.865870855,282.317633107
016201,280.936248338,280.972975314,278.429605478
016202,279.822996171,279.886729678,277.357915686
016203,281.390480803,281.482951624,278.947663524
