date,co2,no_co2,spinup
015102,280.189156442,280.094489094,277.144648207
015103,281.899557643,281.821937736,278.818371061
015104,285.23946933,285.160483762,282.159620861
015105,289.407135658,289.30284887,286.354670669
015106,292.829847615,292.683225687,289.738368286
015107,295.468714135,295.328112674,292.361833412
015108,296.688995348,296.588085811,293.597182924
015109,296.05015778,295.960305915,292.996325674
015110,293.555999869,293.468318777,290.551705442
015111,289.562406383,289.489590656,286.539347977
015112,284.873649389,284.813189077,281.853843269
015201,281.088089743,281.059414706,278.08379275
015202,280.499521131,280.485711143,277.499936431
015203,282.057531104,282.041302537,279.027748648
015204,284.875143401,284.879212961,281.852547668
015205,289.07993224,289.065092682,286.032577906
015206,292.655276553,292.615678456,289.608995836
015207,295.288298256,295.24490636,292.270139628
015208,296.471003634,296.435862104,293.4504835
015209,295.85497806,295.838438887,292.873592759
015210,293.520008005,293.509905881,290.582865784
015211,289.4208647,289.408625975,286.437822195
015212,284.298626039,284.284605636,281.287856645
015301,280.780991829,280.776966726,277.797804053
015302,280.337536133,280.343765514,277.351387319
015303,282.063946975,282.080768562,279.074089162
015304,284.694009733,284.717185439,281.687757513
015305,289.020284546,289.018838275,285.996992221
015306,292.525181154,292.483682886,289.48440426
015307,295.15537762,295.105397788,292.12906561
015308,296.332548312,296.29905211,293.307694635
015309,295.76945544,295.748561359,292.779312568
015310,293.370092203,293.338879944,290.413029497
015311,289.417573497,289.389658381,286.419298482
015312,284.523282445,284.498131101,281.528209904
015401,280.82270448,280.80820917,277.820979004
015402,279.874981167,279.871871671,276.861111713
015403,281.403668942,281.413261762,278.387751037
015404,284.40076816,284.413144859,281.375772148
015405,288.965697117,288.952971284,285.92845652
015406,292.554062846,292.503340401,289.507183549
015407,295.113775516,295.061639575,292.076766998
015408,296.277482866,296.244930152,293.242785128
015409,295.884774538,295.862875112,292.886447894
015410,293.338338075,293.306277882,290.371457789
015411,289.622836958,289.598686064,286.638879159
015412,285.059227256,285.035496554,282.086174285
015501,281.307510063,281.29572597,278.338680268
015502,280.236292697,280.239718781,277.239056826
015503,281.118799984,281.133209459,278.097563348
015504,284.553375303,284.575397399,281.539544605
015505,288.964048824,288.960659073,285.926867321
015506,292.699658587,292.662806914,289.665459272
015507,295.318970722,295.272925028,292.288173493
015508,296.451754881,296.420990055,293.423586954
015509,295.818107746,295.799631309,292.823490534
